,age,marital,education,default,balance,loan,day,month,duration,campaign,pdays,previous,job,housing
31,33,1,1,0,386,0,12,11,253,1,92,4,12,0
32,27,3,1,0,376,1,5,5,273,1,-1,0,6,1
33,42,2,1,0,372,1,6,5,121,2,-1,0,12,1
34,32,3,1,0,473,0,7,7,624,5,-1,0,12,1
35,61,1,1,0,76,0,15,7,195,7,-1,0,10,1
36,45,1,1,0,1415,0,24,7,311,1,-1,0,11,1
37,52,2,2,0,-191,0,15,5,755,1,-1,0,8,1
38,26,3,3,0,81,0,21,7,262,3,-1,0,6,0
39,32,3,3,0,2185,0,20,11,354,2,-1,0,11,0
40,32,3,3,0,131,0,3,6,267,3,-1,0,4,0
41,42,1,1,0,1331,0,23,7,698,2,-1,0,4,0
42,77,1,3,0,7802,0,4,5,421,1,92,2,10,0
43,48,1,1,0,1159,1,15,5,1181,9,-1,0,8,1
44,46,1,1,0,271,0,16,5,134,4,-1,0,12,1
45,31,1,3,0,636,0,4,5,352,4,-1,0,11,1
46,40,1,3,0,51,0,19,8,164,2,-1,0,4,0
47,36,1,3,0,9324,0,30,3,138,8,-1,0,4,1
48,48,1,1,0,149,0,9,5,71,1,-1,0,8,1
49,50,1,1,1,421,0,20,11,22,5,-1,0,4,0
50,36,3,3,0,9019,0,11,6,952,3,-1,0,3,1
51,49,1,2,0,1032,0,2,6,41,5,-1,0,8,1
52,40,1,3,0,1041,0,12,6,73,1,-1,0,4,1
53,38,1,1,0,1663,0,13,4,217,3,327,1,8,1
54,46,1,1,0,390,0,31,7,208,2,-1,0,9,1
55,34,3,1,0,0,0,22,8,132,4,-1,0,4,0
56,35,2,1,0,69,0,8,5,461,3,-1,0,11,1
57,31,1,1,0,0,0,14,5,40,2,-1,0,1,1
58,32,3,1,0,92,0,18,5,110,1,315,2,1,1
59,33,1,3,0,-988,1,15,7,83,3,-1,0,11,1
60,41,1,3,0,437,0,3,6,14,21,-1,0,4,1
61,42,1,1,0,117,0,9,5,147,1,-1,0,8,1
62,67,1,1,0,16353,0,27,10,223,2,-1,0,8,0
63,52,1,1,0,2087,0,31,8,267,1,474,1,8,1
64,69,1,2,0,279,0,12,8,26,1,-1,0,10,0
65,40,1,1,0,440,0,5,6,327,2,-1,0,8,1
66,32,1,1,0,0,0,30,1,119,3,-1,0,1,0
67,34,1,3,0,-73,0,11,7,90,1,-1,0,4,1
68,38,2,1,0,-17,0,21,11,11,4,-1,0,4,0
69,38,2,3,0,4335,0,20,11,640,1,-1,0,4,1
70,50,2,1,0,32,0,4,8,282,2,-1,0,3,0
71,41,1,3,0,49,0,17,7,312,5,-1,0,4,1
72,46,2,3,0,25,0,17,6,564,2,-1,0,4,0
73,38,1,2,0,2569,0,9,6,172,1,-1,0,8,0
74,33,1,1,0,0,0,22,7,44,8,-1,0,12,1
75,59,1,2,0,0,0,19,11,207,2,153,1,6,0
76,40,3,1,0,462,1,6,4,272,1,335,4,1,1
77,46,2,2,0,23,0,21,11,344,1,-1,0,3,0
78,31,1,3,0,22546,0,14,5,8,6,267,4,4,1
79,38,3,3,0,1373,0,22,10,119,4,-1,0,4,0
80,30,3,1,0,4,0,4,2,443,2,-1,0,7,0
81,57,1,3,0,1341,0,8,5,339,2,-1,0,4,1
82,45,2,3,0,220,0,18,6,89,4,-1,0,4,1
83,42,1,2,0,969,0,13,5,721,1,-1,0,8,1
84,33,1,1,0,4790,0,20,4,137,1,272,2,11,1
85,29,1,3,0,318,0,18,5,1434,2,356,4,4,1
86,39,3,3,0,1190,0,8,8,136,1,-1,0,11,0
87,28,3,1,0,4745,0,12,5,360,1,181,5,1,0
88,31,3,1,0,481,0,20,11,106,2,183,2,12,1
89,42,1,1,0,-422,0,9,7,31,1,-1,0,8,0
90,52,3,3,0,83,0,26,8,1223,6,-1,0,4,0
91,48,1,1,0,5,0,7,5,697,2,-1,0,1,1
92,40,1,1,0,1327,1,26,5,76,2,-1,0,1,1
93,31,1,1,0,1368,0,12,8,129,4,-1,0,4,1
94,34,1,3,0,475,1,9,7,1156,1,-1,0,6,1
95,42,2,1,0,63,0,16,5,88,6,-1,0,1,0
96,29,1,3,0,199,1,7,5,1689,4,-1,0,4,1
97,41,1,1,0,8238,1,30,5,124,4,-1,0,1,1
98,44,1,3,0,4460,0,31,7,168,2,-1,0,4,0
99,29,3,3,0,0,0,16,5,16,25,-1,0,4,0
100,34,1,3,0,415,1,23,7,361,2,-1,0,4,0
101,31,3,1,0,1014,0,23,7,158,4,-1,0,11,1
102,46,1,1,0,1427,0,14,5,32,3,-1,0,11,1
103,37,1,1,0,-67,0,2,2,157,1,-1,0,8,0
104,45,3,1,0,1757,0,20,4,1010,3,326,1,12,1
105,36,1,2,0,1177,0,15,4,330,1,311,4,8,0
106,51,1,1,0,-379,0,5,8,261,1,-1,0,11,1
107,43,1,3,0,13044,0,18,8,36,4,-1,0,4,0
108,58,1,2,0,2769,0,11,7,94,2,-1,0,4,1
109,41,2,1,0,0,0,17,11,386,2,-1,0,11,1
110,37,3,3,0,37,0,28,1,253,2,-1,0,4,0
111,21,3,1,0,6844,0,14,8,126,3,127,7,7,0
112,32,3,3,0,347,0,18,5,213,1,264,6,4,1
113,43,1,3,0,64,0,6,6,230,2,-1,0,9,0
114,44,3,1,0,5045,0,21,11,20,6,175,15,12,1
115,43,3,1,0,24,0,12,5,68,1,363,1,8,0
116,46,3,1,0,1790,0,5,6,214,5,-1,0,1,1
117,31,1,1,0,3706,0,20,11,129,1,-1,0,11,1
118,37,1,1,0,1633,0,19,5,229,3,-1,0,11,1
119,36,1,1,0,4438,0,20,5,446,1,-1,0,8,1
120,32,3,1,0,1670,0,18,5,183,1,-1,0,8,1
121,30,3,1,0,6900,0,21,11,816,1,-1,0,8,0
122,28,1,1,0,1137,0,6,2,129,4,211,3,8,0
123,54,1,2,0,3859,1,20,11,104,3,-1,0,4,0
124,43,2,2,0,-97,1,31,7,747,4,-1,0,8,1
125,49,1,1,0,1916,1,14,7,281,3,-1,0,6,0
126,34,3,3,0,4348,0,28,8,373,8,-1,0,4,1
127,32,2,1,0,-399,0,2,6,180,1,-1,0,11,1
128,30,3,3,0,4213,0,25,8,142,4,-1,0,4,0
129,26,3,3,0,211,0,29,1,168,3,-1,0,9,0
130,48,1,1,0,4415,0,8,4,1032,3,141,7,4,1
131,37,1,3,0,0,0,17,11,77,1,-1,0,11,1
132,30,1,3,0,1476,1,3,6,199,4,-1,0,4,1
133,47,1,1,0,2597,0,16,5,323,1,-1,0,12,1
134,52,1,1,0,603,1,9,6,79,1,-1,0,10,0
135,23,3,1,0,5,0,12,5,413,1,-1,0,1,0
136,40,2,1,0,507,0,2,2,134,1,266,7,3,1
137,32,1,1,0,3514,0,20,5,226,2,-1,0,8,1
138,47,3,3,0,3727,0,12,6,993,6,-1,0,5,0
139,45,2,2,0,844,0,5,6,1018,3,-1,0,8,0
140,54,1,1,0,209,1,25,7,97,1,-1,0,5,1
141,36,1,1,0,1825,0,14,5,24,1,346,1,4,1
142,29,3,3,0,452,0,11,5,59,1,-1,0,11,1
143,24,1,1,0,4500,0,11,5,733,2,-1,0,12,1
144,36,1,1,0,465,0,20,5,160,1,-1,0,1,1
145,37,1,1,0,749,0,21,4,219,1,-1,0,1,0
146,46,1,1,0,1550,0,16,4,126,2,149,8,12,1
147,50,1,2,0,1260,0,18,11,172,1,-1,0,12,0
148,57,2,1,0,39,0,30,7,354,3,-1,0,10,1
149,30,3,3,0,302,0,11,2,528,3,-1,0,3,0
150,46,2,3,0,743,0,5,6,36,2,-1,0,4,0
151,29,1,1,0,15,0,3,6,136,1,-1,0,8,0
152,31,3,3,0,385,0,21,5,304,1,-1,0,4,1
153,34,3,1,0,79,1,20,11,104,1,-1,0,8,0
154,52,1,2,0,255,1,10,7,374,3,-1,0,3,0
155,43,1,3,0,192,0,5,8,203,2,-1,0,11,0
156,36,1,1,0,-461,0,11,5,254,2,353,1,8,0
157,32,2,1,1,-18,0,12,5,155,3,-1,0,1,1
158,36,3,1,0,417,0,6,2,15,10,207,3,12,1
159,40,1,3,0,1734,0,2,6,169,1,-1,0,4,1
160,34,1,1,0,114,1,4,6,153,1,309,3,11,1
161,26,3,1,0,622,0,28,1,1451,2,-1,0,3,0
162,32,1,1,0,6217,1,21,5,486,2,-1,0,4,1
163,46,1,1,0,781,0,13,5,152,1,-1,0,8,0
164,55,1,1,0,955,0,29,1,104,1,-1,0,11,1
165,32,3,3,0,890,1,28,8,27,10,-1,0,6,1
166,30,3,3,0,18,0,20,5,121,11,-1,0,4,0
167,32,1,1,0,2,0,15,5,16,9,309,1,8,1
168,28,3,1,0,618,0,7,5,281,1,-1,0,11,1
169,39,1,1,0,186,0,17,4,433,1,-1,0,12,1
170,31,3,1,0,16,0,7,7,387,1,-1,0,8,0
171,57,1,1,0,139,0,17,8,80,1,-1,0,4,0
172,49,1,1,0,4667,0,19,5,130,2,-1,0,11,1
173,38,1,3,0,950,0,5,8,210,2,-1,0,4,0
174,25,3,1,0,913,0,7,7,113,4,-1,0,8,1
175,48,1,2,0,574,0,5,8,348,1,-1,0,8,0
176,32,1,1,0,5122,0,13,8,31,1,-1,0,11,0
177,56,1,1,0,22196,0,21,11,189,1,-1,0,12,1
178,32,1,1,0,3935,0,29,5,129,2,-1,0,4,1
179,28,3,3,0,2380,0,14,9,394,2,-1,0,4,0
180,49,2,1,0,32,0,5,2,128,1,-1,0,6,0
181,45,2,1,0,0,0,29,10,264,1,-1,0,1,0
182,36,1,3,0,61,1,19,8,452,2,-1,0,4,0
183,23,3,1,0,1021,0,19,6,79,9,-1,0,7,0
184,32,3,3,0,-59,1,4,7,192,1,-1,0,1,0
185,44,1,2,0,10,0,17,7,196,1,-1,0,8,1
186,34,2,1,0,991,0,6,5,89,1,344,1,12,1
187,36,3,2,0,367,0,2,2,217,1,221,1,8,0
188,47,1,1,0,2,0,10,7,89,1,-1,0,1,0
189,54,1,1,0,-315,1,10,7,2029,1,-1,0,11,0
190,50,2,1,0,202,1,17,11,148,1,-1,0,1,0
191,37,1,3,0,3913,0,27,4,124,1,-1,0,1,1
192,44,1,2,0,-11,0,9,5,13,1,-1,0,8,1
193,49,1,1,0,1103,0,12,8,428,2,-1,0,9,0
194,48,1,1,0,480,0,15,5,830,1,352,2,8,1
195,38,1,1,0,593,1,24,7,1484,24,-1,0,6,1
196,33,1,2,0,191,0,9,5,162,2,-1,0,8,1
197,24,3,1,0,366,1,16,5,234,2,-1,0,10,0
198,46,1,3,0,523,0,6,5,105,4,366,2,4,1
199,53,1,1,0,1378,0,18,7,91,2,-1,0,12,1
200,43,1,2,0,487,0,7,5,548,2,-1,0,8,1
201,25,3,3,0,5,0,29,9,138,1,-1,0,7,0
202,36,1,3,0,925,0,14,12,321,3,189,4,4,0
203,28,3,3,0,1351,0,10,12,267,1,-1,0,4,0
204,30,1,3,0,42,0,25,8,115,6,-1,0,4,0
205,39,1,2,0,385,0,16,5,225,4,-1,0,8,1
206,30,3,1,0,180,0,14,7,203,1,183,2,8,0
207,48,1,1,0,4265,0,13,5,220,2,-1,0,11,1
208,36,3,1,0,475,0,25,7,141,3,-1,0,6,0
209,33,2,1,0,661,0,18,11,411,1,173,2,1,1
210,42,2,1,0,47,1,8,5,141,1,-1,0,8,1
211,48,1,1,0,865,0,13,5,78,2,-1,0,8,1
212,36,1,1,0,725,0,27,2,123,3,99,8,1,1
213,49,1,3,0,1235,0,13,8,354,3,-1,0,11,0
214,27,1,1,0,130,0,7,5,265,3,-1,0,11,1
215,31,3,3,0,23,0,25,8,121,3,-1,0,11,0
216,29,1,1,0,424,1,14,5,241,2,-1,0,8,1
217,38,1,3,0,1514,1,21,11,160,3,120,3,6,0
218,40,1,3,0,1217,1,18,11,155,1,-1,0,4,1
219,46,3,3,0,46,1,17,11,80,1,152,1,4,0
220,53,1,1,0,225,0,20,4,304,1,340,1,1,1
221,34,1,1,0,456,1,28,8,137,8,-1,0,6,1
222,29,1,1,0,912,0,13,5,785,1,-1,0,8,1
223,33,1,1,0,-204,0,15,5,297,3,-1,0,11,0
224,31,1,3,0,4148,0,21,11,316,3,99,9,4,1
225,36,1,1,0,198,0,9,5,400,2,-1,0,8,1
226,50,1,1,0,2061,1,29,1,197,2,244,3,9,1
227,43,1,2,0,188,0,12,5,58,3,347,5,8,1
228,58,1,3,0,2729,0,18,6,188,1,-1,0,4,0
229,29,3,1,0,1117,0,8,5,77,2,-1,0,1,1
230,34,3,1,0,-72,0,7,7,273,5,-1,0,8,1
231,35,2,1,0,308,0,22,8,77,2,-1,0,11,0
232,56,1,3,0,1922,0,24,7,247,2,-1,0,5,1
233,43,1,2,0,1211,0,6,5,208,3,-1,0,8,1
234,56,1,3,0,217,1,21,7,121,2,-1,0,4,0
235,33,1,2,0,925,0,20,11,884,3,-1,0,8,0
236,48,1,3,0,998,0,29,1,121,3,-1,0,4,1
237,38,3,1,0,311,0,28,5,61,2,-1,0,11,1
238,43,1,1,0,699,1,20,11,1258,2,122,2,8,1
239,28,3,1,0,1453,0,12,5,246,1,343,1,11,1
240,32,1,1,0,-632,1,20,4,18,5,-1,0,12,1
241,31,3,1,0,-407,1,7,7,230,1,-1,0,1,0
242,43,3,1,1,-1164,1,18,7,76,4,-1,0,4,1
243,32,3,3,0,741,0,11,8,238,1,-1,0,11,1
244,38,1,3,0,2812,0,30,4,830,1,-1,0,3,1
245,30,1,1,0,123,1,17,7,66,1,85,5,9,0
246,32,1,1,0,413,0,11,7,712,2,-1,0,9,1
247,52,1,1,0,118,0,28,8,16,20,-1,0,11,0
248,46,1,3,0,273,0,18,3,910,2,184,4,4,1
249,24,3,1,0,1847,0,9,12,390,1,-1,0,7,0
250,40,1,3,0,0,0,14,7,109,8,-1,0,4,0
251,41,2,1,0,1281,0,31,7,45,3,-1,0,3,0
252,29,3,1,0,-105,0,27,5,5,3,-1,0,4,1
253,48,1,1,0,302,0,26,5,208,3,-1,0,11,1
254,33,3,1,0,1558,0,17,4,97,1,-1,0,4,1
255,26,1,1,0,115,0,4,7,46,3,-1,0,8,1
256,58,1,3,0,1831,0,17,11,1531,1,-1,0,4,0
257,41,1,1,0,2105,0,18,11,134,1,-1,0,6,1
258,38,1,1,0,-140,0,25,6,456,3,-1,0,12,0
259,29,1,3,0,43,0,20,5,68,2,-1,0,11,1
260,31,3,1,0,1086,0,20,11,410,1,-1,0,9,0
261,46,2,1,0,558,0,19,8,126,6,-1,0,4,0
262,54,1,1,0,641,0,17,4,472,1,148,2,9,1
263,50,1,1,0,231,0,21,11,397,2,-1,0,1,1
264,56,2,1,1,-435,1,9,5,185,2,-1,0,1,1
265,30,3,3,0,1185,0,30,4,284,1,339,1,11,1
266,45,1,2,0,419,0,18,8,113,4,-1,0,8,0
267,59,1,2,0,699,0,28,1,98,1,154,6,8,0
268,53,3,1,0,5715,0,28,1,287,2,-1,0,8,0
269,28,3,1,0,4229,1,5,5,205,2,-1,0,8,1
270,31,3,1,0,1987,0,20,11,55,2,-1,0,12,1
271,35,1,3,0,8,0,23,5,55,4,-1,0,4,1
272,43,2,1,0,1413,0,28,7,75,3,-1,0,11,1
273,42,1,3,0,1205,0,8,9,376,2,-1,0,4,0
274,59,2,3,0,0,0,31,7,52,8,-1,0,4,1
275,32,3,3,0,705,0,20,4,20,4,-1,0,11,1
276,34,3,1,0,0,0,17,11,63,2,-1,0,3,0
277,46,1,1,0,548,0,12,8,1181,4,-1,0,9,0
278,32,1,1,0,2693,0,21,5,16,1,-1,0,11,1
279,31,2,1,0,10787,0,4,6,135,2,-1,0,11,1
280,55,1,3,0,0,0,14,5,159,2,-1,0,4,1
281,57,1,3,0,0,0,19,8,188,4,-1,0,4,0
282,32,2,3,0,874,0,12,8,1282,6,-1,0,4,0
283,70,2,2,0,4531,0,18,5,445,1,-1,0,10,0
284,35,2,1,0,56,0,29,8,24,12,-1,0,11,0
285,35,1,1,0,141,0,19,8,299,2,-1,0,11,1
286,31,1,1,0,236,1,4,5,211,3,-1,0,1,1
287,60,1,3,0,3387,0,14,8,636,2,-1,0,4,0
288,39,1,1,0,406,0,30,7,253,5,-1,0,1,0
289,35,3,1,0,376,1,6,5,207,3,-1,0,8,1
290,27,3,2,0,-79,0,30,5,385,5,-1,0,8,1
291,44,3,1,0,106,0,12,6,109,2,-1,0,12,0
292,44,1,1,0,93,0,7,7,125,2,-1,0,6,0
293,36,3,3,0,40,0,26,8,359,3,-1,0,11,0
294,36,1,1,0,42,0,8,5,102,4,-1,0,12,1
295,34,1,3,0,5060,0,21,8,12,21,-1,0,11,1
296,55,1,2,0,284,1,14,7,252,4,-1,0,8,0
297,38,1,2,0,3419,0,20,6,324,5,-1,0,8,1
298,44,1,1,0,508,0,20,4,222,1,154,1,8,1
299,39,1,2,0,1564,0,17,6,57,1,-1,0,8,0
300,30,3,1,0,3096,0,26,1,123,1,-1,0,7,0
301,47,1,1,1,-614,0,26,5,118,2,-1,0,8,1
302,45,1,1,0,706,0,30,4,78,2,176,1,9,0
303,34,1,3,0,573,0,10,8,122,1,-1,0,4,0
304,80,1,1,0,462,0,7,12,127,2,-1,0,10,0
305,29,3,3,0,572,0,16,12,314,1,195,1,4,0
306,31,1,1,0,1660,0,20,4,342,1,-1,0,8,1
307,29,1,1,0,182,0,13,5,38,3,-1,0,12,1
308,36,1,1,0,439,0,21,5,260,5,-1,0,8,1
309,30,3,1,1,239,0,21,5,412,1,-1,0,8,1
310,34,1,3,0,1539,0,15,6,441,1,56,1,11,1
311,55,1,3,0,-375,0,30,7,814,2,-1,0,4,0
312,45,2,3,0,2096,0,21,11,127,1,100,2,4,0
313,41,1,1,0,3992,0,20,11,281,2,-1,0,12,1
314,51,1,3,0,2934,0,18,11,727,4,-1,0,4,1
315,54,1,3,0,8295,0,5,6,207,1,-1,0,4,0
316,33,3,1,0,920,0,21,11,58,1,122,4,11,1
317,34,1,1,0,247,1,26,5,193,5,-1,0,8,1
318,28,1,3,0,3694,1,8,7,70,2,-1,0,4,0
319,31,1,2,0,99,0,17,4,193,2,322,1,8,1
320,29,3,1,0,555,0,15,5,133,4,-1,0,8,1
321,30,3,3,0,2325,0,5,4,270,3,241,4,11,0
322,36,1,1,0,-231,1,15,7,779,2,-1,0,8,0
323,49,3,2,0,548,0,31,7,115,6,-1,0,4,0
324,38,1,1,0,434,0,20,5,411,1,-1,0,12,1
325,47,1,3,0,1890,0,8,7,161,1,-1,0,4,0
326,39,1,1,0,607,0,12,5,454,2,364,3,1,1
327,53,1,1,0,2647,0,30,5,121,1,-1,0,11,1
328,42,1,3,0,0,0,9,7,236,1,-1,0,6,0
329,32,3,1,0,1259,0,25,7,184,2,-1,0,9,0
330,45,1,1,0,0,0,19,8,145,10,-1,0,1,0
331,35,1,3,0,1145,0,2,2,82,2,-1,0,1,1
332,40,1,1,0,1325,0,11,6,150,2,-1,0,12,0
333,36,3,1,0,0,0,29,8,85,6,-1,0,11,0
334,45,1,1,0,68,0,7,5,254,1,-1,0,6,1
335,56,1,1,0,3948,0,3,4,484,1,135,3,10,0
336,31,3,1,0,609,0,14,4,1126,1,335,1,8,1
337,37,1,1,0,67,0,3,6,45,2,-1,0,8,0
338,56,1,1,0,344,0,15,5,221,1,-1,0,10,1
339,29,3,1,0,3672,1,28,5,1210,1,-1,0,9,1
340,32,3,1,0,10218,0,19,11,149,2,-1,0,1,1
341,30,1,3,0,0,0,24,7,209,2,-1,0,1,1
342,46,1,1,0,57,0,28,5,796,1,-1,0,11,0
343,40,3,1,0,2378,0,2,6,65,1,-1,0,1,1
344,30,3,3,0,2,1,25,7,1031,8,-1,0,4,1
345,59,1,2,0,2814,0,20,6,81,3,-1,0,8,0
346,38,1,2,0,3913,0,20,4,196,2,315,2,1,1
347,42,1,1,0,508,0,30,5,70,1,-1,0,12,1
348,28,3,1,0,317,0,16,5,21,3,-1,0,12,1
349,36,1,1,0,1328,0,6,6,82,4,-1,0,12,1
350,42,1,2,0,145,0,20,8,252,2,-1,0,5,0
351,39,1,2,0,3705,0,16,6,77,1,-1,0,8,1
352,57,1,1,0,0,1,30,6,104,2,-1,0,10,0
353,36,1,1,0,13,0,3,6,284,1,-1,0,8,0
354,27,3,3,0,808,0,15,5,578,1,364,1,11,1
355,31,3,3,0,1214,0,3,2,39,1,-1,0,11,0
356,56,1,1,0,1044,0,3,7,353,2,-1,0,10,0
357,55,2,1,0,218,0,29,5,200,2,-1,0,12,1
358,29,3,1,0,486,0,30,4,95,1,-1,0,3,0
359,31,1,3,0,591,0,21,11,161,2,-1,0,3,0
360,28,3,1,0,3,0,18,5,40,8,349,6,11,0
361,41,1,1,0,1249,0,9,7,391,1,-1,0,6,1
362,42,3,2,0,1322,1,8,7,178,1,-1,0,8,1
363,42,1,2,0,1520,0,5,2,115,1,-1,0,8,1
364,55,1,1,0,139,0,22,8,256,2,-1,0,5,0
365,37,1,1,0,487,1,27,8,155,15,-1,0,9,0
366,27,1,1,0,4848,1,23,7,82,3,-1,0,5,1
367,32,1,3,0,4761,0,5,5,159,2,350,2,4,1
368,40,1,1,0,1270,0,17,4,342,2,-1,0,11,0
369,36,1,3,0,1109,0,13,8,328,2,-1,0,11,0
370,30,1,1,0,946,0,19,11,1065,1,183,1,6,1
371,31,1,3,0,1331,0,30,4,297,1,86,3,4,0
372,48,3,1,0,290,0,21,7,257,2,-1,0,4,1
373,45,1,1,0,-839,0,28,5,68,1,-1,0,12,1
374,43,1,1,0,104,0,17,6,332,1,-1,0,9,0
375,28,3,1,0,304,0,14,6,516,1,-1,0,3,0
376,46,1,2,0,1291,0,14,5,142,3,259,17,8,1
377,41,3,3,0,1646,0,4,2,261,1,184,6,11,1
378,61,1,2,0,625,0,19,5,158,2,-1,0,8,1
379,28,3,1,0,6307,0,28,5,615,1,-1,0,8,1
380,57,1,1,0,35,1,26,6,215,3,-1,0,9,0
381,61,1,1,0,313,1,3,7,42,1,-1,0,10,0
382,46,1,1,0,4958,0,17,11,64,3,150,5,1,1
383,80,1,1,0,8304,0,6,4,681,1,118,11,10,0
384,54,1,1,0,158,0,19,5,198,1,-1,0,12,1
385,59,2,1,0,5845,0,14,5,1060,2,-1,0,10,0
386,48,1,1,0,117,0,16,4,635,1,-1,0,4,1
387,47,2,1,0,162,0,9,5,203,4,-1,0,1,1
388,40,1,1,0,11084,0,11,6,113,1,-1,0,8,0
389,50,1,1,0,283,0,7,8,226,3,-1,0,8,1
390,58,1,3,0,16264,0,17,11,215,3,-1,0,4,0
391,29,3,3,0,406,0,17,7,119,1,-1,0,11,1
392,39,2,3,0,3575,1,18,8,74,3,-1,0,4,0
393,32,1,1,0,6217,1,18,11,486,2,181,2,4,1
394,43,3,1,0,11269,0,29,5,92,1,-1,0,11,0
395,39,3,1,0,1242,0,12,5,303,3,-1,0,1,1
396,42,2,3,0,221,0,7,5,720,2,-1,0,4,1
397,36,1,1,0,-872,1,20,11,153,1,183,1,3,1
398,33,2,3,1,280,1,18,11,155,1,-1,0,4,0
399,52,1,3,0,0,0,9,8,145,3,94,4,11,0
400,42,1,2,0,-10,0,9,5,291,4,-1,0,8,1
401,36,1,1,0,419,0,30,5,251,1,-1,0,5,1
402,35,1,1,0,0,0,18,5,146,2,-1,0,12,1
403,33,3,3,0,-67,0,5,5,364,1,-1,0,4,1
404,57,1,1,0,2137,0,8,7,132,7,-1,0,1,0
405,39,1,1,0,0,0,27,8,63,3,-1,0,4,1
406,29,1,3,0,451,0,28,1,451,1,-1,0,4,0
407,42,3,3,0,515,0,19,11,501,2,-1,0,4,1
408,59,1,1,0,5314,0,5,5,200,3,-1,0,8,1
409,52,1,3,0,0,0,9,7,197,1,-1,0,4,1
410,41,1,3,0,326,0,5,5,788,1,-1,0,4,1
411,37,1,3,0,0,0,21,7,115,1,-1,0,1,1
412,43,1,3,0,2,1,20,8,472,2,-1,0,4,0
413,32,1,3,0,3107,1,25,7,310,1,-1,0,4,1
414,39,1,1,0,247,0,17,4,244,2,-1,0,12,1
415,36,3,1,0,342,0,7,5,142,1,-1,0,12,1
416,44,1,3,0,724,0,17,11,157,2,172,1,4,1
417,40,3,3,0,0,0,23,2,228,2,182,6,4,1
418,29,3,1,0,417,0,7,10,90,1,-1,0,4,0
419,50,2,1,0,203,0,19,11,265,1,127,4,8,1
420,57,1,3,1,-3313,1,9,5,153,1,-1,0,9,1
421,55,2,1,0,138,0,17,7,205,1,-1,0,10,0
422,50,1,3,0,-470,0,8,5,506,2,170,3,4,1
423,44,3,3,0,-1313,1,15,5,104,10,-1,0,4,1
424,60,1,2,0,0,1,22,7,124,1,-1,0,5,0
425,32,1,3,0,1390,0,7,8,116,2,-1,0,4,0
426,55,1,2,0,4103,0,19,11,291,1,-1,0,8,0
427,32,1,1,0,1148,0,20,4,121,1,-1,0,8,1
428,37,1,3,0,836,0,27,5,129,2,-1,0,6,1
429,53,1,1,0,4380,0,19,8,223,7,-1,0,8,0
430,33,1,3,0,8023,0,25,2,196,1,87,4,11,0
431,44,3,1,0,1378,0,8,5,257,2,-1,0,12,1
432,55,1,2,0,4424,0,5,8,67,4,-1,0,10,0
433,33,3,3,0,1909,0,8,8,191,2,-1,0,4,0
434,25,3,3,0,777,0,14,5,351,1,-1,0,11,1
435,33,3,3,0,1998,0,19,11,570,1,-1,0,4,0
436,49,1,1,0,320,0,9,2,1971,4,-1,0,12,0
437,41,1,1,0,77,0,7,5,56,1,-1,0,11,1
438,41,3,1,0,618,0,5,2,1056,1,-1,0,11,0
439,34,2,1,0,-566,0,26,5,248,2,-1,0,8,1
440,48,1,1,0,157,0,6,5,73,1,-1,0,8,1
441,36,2,1,0,-435,0,2,6,85,8,-1,0,11,1
442,34,1,1,0,550,1,9,7,601,1,-1,0,11,0
443,35,1,3,0,93,0,4,5,198,2,88,1,4,0
